team_1,team_2,location,result,date,team_1_score,team_2_score
Pittsburgh Penguins,Washington Capitals,home,W,2019-03-12,5,3
St Louis Blues,Arizona Coyotes,home,L,2019-03-12,1,3
Winnipeg Jets,San Jose Sharks,home,L,2019-03-12,4,5
Edmonton Oilers,New Jersey Devils,home,L,2019-03-13,3,6
Toronto Maple Leafs,Chicago Blackhawks,home,L,2019-03-13,4,5
Vancouver Canucks,New York Rangers,home,W,2019-03-13,4,1
Arizona Coyotes,Anaheim Ducks,home,W,2019-03-14,6,1
Buffalo Sabres,Pittsburgh Penguins,home,L,2019-03-14,0,5
Detroit Red Wings,Tampa Bay Lightning,home,L,2019-03-14,4,5
Los Angeles Kings,Nashville Predators,home,L,2019-03-14,1,3
Minnesota Wild,Dallas Stars,home,L,2019-03-14,1,4
New York Islanders,Montreal Canadiens,home,W,2019-03-14,2,1
Ottawa Senators,St Louis Blues,home,W,2019-03-14,2,0
Philadelphia Flyers,Washington Capitals,home,L,2019-03-14,2,5
San Jose Sharks,Florida Panthers,home,L,2019-03-14,2,4
Winnipeg Jets,Boston Bruins,home,W,2019-03-14,4,3
Columbus Blue Jackets,Carolina Hurricanes,home,W,2019-03-15,3,0
Calgary Flames,New York Rangers,home,W,2019-03-15,5,1
Colorado Avalanche,Anaheim Ducks,home,L,2019-03-15,3,5
Dallas Stars,Vegas Golden Knights,home,L,2019-03-15,1,2
Toronto Maple Leafs,Philadelphia Flyers,home,W,2019-03-15,7,6
Vancouver Canucks,New Jersey Devils,home,L,2019-03-15,2,3
Arizona Coyotes,Edmonton Oilers,home,L,2019-03-16,2,3
Boston Bruins,Columbus Blue Jackets,home,W,2019-03-16,2,1
Carolina Hurricanes,Buffalo Sabres,home,W,2019-03-16,4,2
Detroit Red Wings,New York Islanders,home,W,2019-03-16,2,1
Los Angeles Kings,Florida Panthers,home,L,2019-03-16,3,4
Minnesota Wild,New York Rangers,home,W,2019-03-16,5,2
Montreal Canadiens,Chicago Blackhawks,home,L,2019-03-16,0,2
Ottawa Senators,Toronto Maple Leafs,home,W,2019-03-16,6,2
Pittsburgh Penguins,St Louis Blues,home,L,2019-03-16,1,5
San Jose Sharks,Nashville Predators,home,L,2019-03-16,2,4
Tampa Bay Lightning,Washington Capitals,home,W,2019-03-16,6,3
Winnipeg Jets,Calgary Flames,home,W,2019-03-16,2,1
Anaheim Ducks,Florida Panthers,home,W,2019-03-17,3,2
Buffalo Sabres,St Louis Blues,home,W,2019-03-17,4,3
Colorado Avalanche,New Jersey Devils,home,W,2019-03-17,3,0
Dallas Stars,Vancouver Canucks,home,L,2019-03-17,2,3
Minnesota Wild,New York Islanders,home,L,2019-03-17,2,3
Pittsburgh Penguins,Philadelphia Flyers,home,L,2019-03-17,1,2
Vegas Golden Knights,Edmonton Oilers,home,W,2019-03-17,6,3
Chicago Blackhawks,Vancouver Canucks,home,L,2019-03-18,2,3
Los Angeles Kings,Winnipeg Jets,home,L,2019-03-18,2,3
San Jose Sharks,Vegas Golden Knights,home,L,2019-03-18,3,7
Tampa Bay Lightning,Arizona Coyotes,home,W,2019-03-18,4,1
Carolina Hurricanes,Pittsburgh Penguins,home,W,2019-03-19,3,2
Calgary Flames,Columbus Blue Jackets,home,W,2019-03-19,4,2
Dallas Stars,Florida Panthers,home,W,2019-03-19,4,2
Minnesota Wild,Colorado Avalanche,home,L,2019-03-19,1,3
New Jersey Devils,Washington Capitals,home,L,2019-03-19,1,4
Nashville Predators,Toronto Maple Leafs,home,W,2019-03-19,3,0
New York Islanders,Boston Bruins,home,L,2019-03-19,0,5
New York Rangers,Detroit Red Wings,home,L,2019-03-19,2,3
Philadelphia Flyers,Montreal Canadiens,home,L,2019-03-19,1,3
St Louis Blues,Edmonton Oilers,home,W,2019-03-19,7,2
Anaheim Ducks,Winnipeg Jets,home,L,2019-03-20,0,3
Buffalo Sabres,Toronto Maple Leafs,home,L,2019-03-20,2,4
Vancouver Canucks,Ottawa Senators,home,W,2019-03-20,7,4
Washington Capitals,Tampa Bay Lightning,home,L,2019-03-20,4,5
Carolina Hurricanes,Tampa Bay Lightning,home,L,2019-03-21,3,6
Calgary Flames,Ottawa Senators,home,W,2019-03-21,5,1
Chicago Blackhawks,Philadelphia Flyers,home,L,2019-03-21,1,3
Dallas Stars,Colorado Avalanche,home,L,2019-03-21,1,3
Edmonton Oilers,Columbus Blue Jackets,home,W,2019-03-21,4,1
Florida Panthers,Arizona Coyotes,home,W,2019-03-21,4,2
Los Angeles Kings,San Jose Sharks,home,W,2019-03-21,4,2
Montreal Canadiens,New York Islanders,home,W,2019-03-21,4,0
New Jersey Devils,Boston Bruins,home,L,2019-03-21,1,5
Nashville Predators,Pittsburgh Penguins,home,L,2019-03-21,1,2
St Louis Blues,Detroit Red Wings,home,W,2019-03-21,5,2
Vegas Golden Knights,Winnipeg Jets,home,W,2019-03-21,5,0
Anaheim Ducks,San Jose Sharks,home,W,2019-03-22,4,3
Washington Capitals,Minnesota Wild,home,L,2019-03-22,1,2
Carolina Hurricanes,Minnesota Wild,home,W,2019-03-23,5,1
Colorado Avalanche,Chicago Blackhawks,home,W,2019-03-23,4,2
Dallas Stars,Pittsburgh Penguins,home,L,2019-03-23,2,3
Edmonton Oilers,Ottawa Senators,home,L,2019-03-23,3,4
Florida Panthers,Boston Bruins,home,L,2019-03-23,3,7
Los Angeles Kings,Anaheim Ducks,home,W,2019-03-23,4,3
Montreal Canadiens,Buffalo Sabres,home,W,2019-03-23,7,4
New Jersey Devils,Arizona Coyotes,home,W,2019-03-23,2,1
Philadelphia Flyers,New York Islanders,home,L,2019-03-23,2,4
St Louis Blues,Tampa Bay Lightning,home,W,2019-03-23,4,3
Toronto Maple Leafs,New York Rangers,home,L,2019-03-23,1,2
Vancouver Canucks,Calgary Flames,home,L,2019-03-23,1,3
Vegas Golden Knights,Detroit Red Wings,home,L,2019-03-23,2,3
Winnipeg Jets,Nashville Predators,home,W,2019-03-23,5,0
Carolina Hurricanes,Montreal Canadiens,home,W,2019-03-24,2,1
Chicago Blackhawks,Colorado Avalanche,home,W,2019-03-24,2,1
New York Islanders,Arizona Coyotes,home,W,2019-03-24,2,0
Vancouver Canucks,Columbus Blue Jackets,home,L,2019-03-24,0,5
Washington Capitals,Philadelphia Flyers,home,W,2019-03-24,3,1
Calgary Flames,Los Angeles Kings,home,L,2019-03-25,0,3
Minnesota Wild,Nashville Predators,home,L,2019-03-25,0,1
New Jersey Devils,Buffalo Sabres,home,W,2019-03-25,3,1
New York Rangers,Pittsburgh Penguins,home,L,2019-03-25,2,5
San Jose Sharks,Detroit Red Wings,home,L,2019-03-25,2,3
St Louis Blues,Vegas Golden Knights,home,W,2019-03-25,3,1
Tampa Bay Lightning,Boston Bruins,home,W,2019-03-25,5,4
Toronto Maple Leafs,Florida Panthers,home,W,2019-03-25,7,5
Winnipeg Jets,Dallas Stars,home,L,2019-03-25,2,5
Arizona Coyotes,Chicago Blackhawks,home,W,2019-03-26,1,0
Columbus Blue Jackets,New York Islanders,home,W,2019-03-26,4,0
Edmonton Oilers,Los Angeles Kings,home,W,2019-03-26,8,4
Montreal Canadiens,Florida Panthers,home,W,2019-03-26,6,1
Ottawa Senators,Buffalo Sabres,home,W,2019-03-26,4,0
Vancouver Canucks,Anaheim Ducks,home,L,2019-03-26,4,5
Washington Capitals,Carolina Hurricanes,home,W,2019-03-26,4,1
Boston Bruins,New York Rangers,home,W,2019-03-27,6,3
Calgary Flames,Dallas Stars,home,L,2019-03-27,1,2
Colorado Avalanche,Vegas Golden Knights,home,W,2019-03-27,4,3
Philadelphia Flyers,Toronto Maple Leafs,home,W,2019-03-27,5,4
Buffalo Sabres,Detroit Red Wings,home,L,2019-03-28,4,5
Carolina Hurricanes,Washington Capitals,home,L,2019-03-28,2,3
Columbus Blue Jackets,Montreal Canadiens,home,W,2019-03-28,6,2
Edmonton Oilers,Dallas Stars,home,L,2019-03-28,2,3
Ottawa Senators,Florida Panthers,home,L,2019-03-28,2,5
San Jose Sharks,Chicago Blackhawks,home,L,2019-03-28,4,5
Vancouver Canucks,Los Angeles Kings,home,W,2019-03-28,3,2
Winnipeg Jets,New York Islanders,home,L,2019-03-28,4,5
Calgary Flames,Anaheim Ducks,home,W,2019-03-29,6,1
Colorado Avalanche,Arizona Coyotes,home,W,2019-03-29,3,2
Detroit Red Wings,New Jersey Devils,home,W,2019-03-29,4,0
New York Rangers,St Louis Blues,home,W,2019-03-29,4,2
Pittsburgh Penguins,Nashville Predators,home,L,2019-03-29,1,3
Vegas Golden Knights,Minnesota Wild,home,L,2019-03-29,2,3
Boston Bruins,Florida Panthers,home,L,2019-03-30,1,4
Carolina Hurricanes,Philadelphia Flyers,home,W,2019-03-30,5,2
Edmonton Oilers,Anaheim Ducks,home,L,2019-03-30,1,5
Los Angeles Kings,Chicago Blackhawks,home,W,2019-03-30,3,2
New Jersey Devils,St Louis Blues,home,L,2019-03-30,2,3
Nashville Predators,Columbus Blue Jackets,home,L,2019-03-30,2,5
New York Islanders,Buffalo Sabres,home,W,2019-03-30,5,1
Ottawa Senators,Toronto Maple Leafs,home,W,2019-03-30,4,2
San Jose Sharks,Vegas Golden Knights,home,W,2019-03-30,4,3
Tampa Bay Lightning,Washington Capitals,home,L,2019-03-30,3,6
Vancouver Canucks,Dallas Stars,home,W,2019-03-30,3,2
Winnipeg Jets,Montreal Canadiens,home,L,2019-03-30,1,3
Arizona Coyotes,Minnesota Wild,home,W,2019-03-31,4,0
Buffalo Sabres,Columbus Blue Jackets,home,L,2019-03-31,0,4
Detroit Red Wings,Boston Bruins,home,W,2019-03-31,6,3
Philadelphia Flyers,New York Rangers,home,L,2019-03-31,0,3
Pittsburgh Penguins,Carolina Hurricanes,home,W,2019-03-31,3,1
San Jose Sharks,Calgary Flames,home,L,2019-03-31,3,5
Chicago Blackhawks,Winnipeg Jets,home,L,2019-04-01,3,4
Florida Panthers,Washington Capitals,home,W,2019-04-01,5,3
Los Angeles Kings,Calgary Flames,home,L,2019-04-01,2,7
New Jersey Devils,New York Rangers,home,W,2019-04-01,4,2
New York Islanders,Toronto Maple Leafs,home,L,2019-04-01,1,2
Ottawa Senators,Tampa Bay Lightning,home,L,2019-04-01,2,5
St Louis Blues,Colorado Avalanche,home,W,2019-04-01,3,2
Vegas Golden Knights,Edmonton Oilers,home,W,2019-04-01,3,1
Arizona Coyotes,Los Angeles Kings,home,L,2019-04-02,1,3
Buffalo Sabres,Nashville Predators,home,L,2019-04-02,2,3
Columbus Blue Jackets,Boston Bruins,home,L,2019-04-02,2,6
Colorado Avalanche,Edmonton Oilers,home,W,2019-04-02,6,2
Dallas Stars,Philadelphia Flyers,home,W,2019-04-02,6,2
Detroit Red Wings,Pittsburgh Penguins,home,W,2019-04-02,4,1
Minnesota Wild,Winnipeg Jets,home,W,2019-04-02,5,1
Montreal Canadiens,Tampa Bay Lightning,home,W,2019-04-02,4,2
Toronto Maple Leafs,Carolina Hurricanes,home,L,2019-04-02,1,4
Vancouver Canucks,San Jose Sharks,home,W,2019-04-02,4,2
Anaheim Ducks,Calgary Flames,home,W,2019-04-03,3,1
Chicago Blackhawks,St Louis Blues,home,W,2019-04-03,4,3
New York Rangers,Ottawa Senators,home,L,2019-04-03,1,4
Buffalo Sabres,Ottawa Senators,home,W,2019-04-04,5,2
Carolina Hurricanes,New Jersey Devils,home,W,2019-04-04,3,1
Colorado Avalanche,Winnipeg Jets,home,W,2019-04-04,3,2
Edmonton Oilers,San Jose Sharks,home,L,2019-04-04,2,3
Florida Panthers,New York Islanders,home,L,2019-04-04,1,2
Minnesota Wild,Boston Bruins,home,L,2019-04-04,0,3
Nashville Predators,Vancouver Canucks,home,W,2019-04-04,3,2
Pittsburgh Penguins,Detroit Red Wings,home,W,2019-04-04,4,1
St Louis Blues,Philadelphia Flyers,home,W,2019-04-04,7,3
Toronto Maple Leafs,Tampa Bay Lightning,home,L,2019-04-04,1,3
Vegas Golden Knights,Arizona Coyotes,home,L,2019-04-04,1,4
Washington Capitals,Montreal Canadiens,home,W,2019-04-04,2,1
Anaheim Ducks,Los Angeles Kings,home,W,2019-04-05,5,2
Chicago Blackhawks,Dallas Stars,home,W,2019-04-05,6,1
New York Rangers,Columbus Blue Jackets,home,L,2019-04-05,2,3
Arizona Coyotes,Winnipeg Jets,home,L,2019-04-06,2,4
Boston Bruins,Tampa Bay Lightning,home,L,2019-04-06,3,6
Calgary Flames,Edmonton Oilers,home,L,2019-04-06,1,3
Dallas Stars,Minnesota Wild,home,W,2019-04-06,3,0
Detroit Red Wings,Buffalo Sabres,home,L,2019-04-06,1,7
Florida Panthers,New Jersey Devils,home,L,2019-04-06,3,4
Los Angeles Kings,Vegas Golden Knights,home,W,2019-04-06,5,2
Montreal Canadiens,Toronto Maple Leafs,home,W,2019-04-06,6,5
Nashville Predators,Chicago Blackhawks,home,W,2019-04-06,5,2
Ottawa Senators,Columbus Blue Jackets,home,L,2019-04-06,2,6
Philadelphia Flyers,Carolina Hurricanes,home,L,2019-04-06,3,4
Pittsburgh Penguins,New York Rangers,home,L,2019-04-06,3,4
San Jose Sharks,Colorado Avalanche,home,W,2019-04-06,5,2
St Louis Blues,Vancouver Canucks,home,W,2019-04-06,3,2
Washington Capitals,New York Islanders,home,L,2019-04-06,0,3
