Quantity Name Edition [code]
1 Ugin, the Spirit Dragon [FRF]
1 Ob Nixilis of the Black Oath [C14]
1 Kiora, the Crashing Wave [DDO]
1 Sarkhan Unbroken [DTK]
1 Elspeth, Sun's Champion [DDO]
1 Kiora, the Crashing Wave [BNG]
1 Freyalise, Llanowar's Fury [C14]
1 Teferi, Temporal Archmage [C14]
1 Daretti, Scrap Savant [C14]
1 Nahiri, the Lithomancer [C14]
1 Immediate Action [CNS]
32 Mountain [M15]
1 Mountain [CHK]
11 Mountain [RTR]
15 Mountain [DTK]
7 Mountain [KTK]
32 Mountain [THS]
26 Mountain [FRF]
28 Mountain [ORI]
4 Mountain [C13]
2 Mountain [ROE]
33 Island [M15]
1 Island [M13]
28 Island [FRF]
2 Island [TSP]
6 Island [C13]
1 Island [DDJ]
22 Swamp [M15]
31 Swamp [FRF]
47 Swamp [THS]
2 Swamp [M14]
39 Swamp [ORI]
4 Dismal Backwater [FRF]
1 Temple of Enlightenment [BNG]
5 Evolving Wilds [M15]
7 Scoured Barrens [FRF]
1 Golgari Guildgate [RTR]
2 Izzet Guildgate [RTR]
1 Nomad Outpost [KTK]
1 Rugged Highlands [FRF]
1 Hallowed Fountain [RTR]
3 Swiftwater Cliffs [KTK]
1 Bloodfell Caves [FRF]
3 Foundry of the Consuls [ORI]
1 Battlefield Forge [ORI]
1 Evolving Wilds [CN2]
1 Barren Moor [C14]
1 Crypt of Agadeem [C14]
1 Everglades [C14]
1 Polluted Mire [C14]
3 Myriad Landscape [C14]
1 Ghost Quarter [C14]
1 Bojuka Bog [C14]
1 Arcane Lighthouse [C14]
1 Nivix, Aerie of the Firemind [GPT]
1 Fertile Thicket [BFZ]
3 Evolving Wilds [ORI]
2 Temple of the False God [C13]
2 Evolving Wilds [C13]
1 Simic Guildgate [C13]
1 Azorius Guildgate [C13]
2 Selesnya Sanctuary [C13]
2 Rupture Spire [C13]
1 Faerie Conclave [C13]
2 Opal Palace [C13]
1 Bant Panorama [C13]
1 Saltcrusted Steppe [C13]
1 Azorius Chancery [C13]
1 Terramorphic Expanse [C13]
1 Secluded Steppe [C13]
2 Command Tower [C13]
1 Seaside Citadel [C13]
1 Transguild Promenade [C13]
1 Sejiri Refuge [C13]
1 Grove of the Guardian [RTR]
1 Boros Guildgate [C13]
1 Boros Garrison [C13]
1 Vivid Crag [C13]
1 Vitu-Ghazi, the City-Tree [C13]
1 Tranquil Thicket [C13]
1 Smoldering Crater [C13]
1 Slippery Karst [C13]
2 Selesnya Guildgate [C13]
1 Secluded Steppe [ARC]
1 New Benalia [C13]
1 Naya Panorama [C13]
1 Mosswort Bridge [C13]
1 Khalni Garden [C13]
1 Jungle Shrine [C13]
1 Homeward Path [C13]
1 Gruul Guildgate [C13]
1 Forgotten Cave [C13]
1 Drifting Meadow [C13]
1 Contested Cliffs [C13]
2 Thornwood Falls [KTK]
1 Gruul Guildgate [DGM]
1 Terramorphic Expanse [M10]
2 Frontier Bivouac [KTK]
2 Jungle Hollow [FRF]
4 Opulent Palace [KTK]
1 Crucible of the Spirit Dragon [FRF]
1 Wind-Scarred Crag [KTK]
3 Tranquil Cove [FRF]
1 Blossoming Sands [FRF]
