Name% Location% Arena%
Reading Raptors%	Temple, Pennsylvania%	Relevant Sports Complex%
South Florida Thunder%	West Palm Beach, Florida%	Traveling team%
Tampa Bay Tornadoes%	Tampa, Florida%	Expo Hall%
Michigan Ironmen%	Muskegon, Michigan%	L. C. Walker Arena%
Maryland Warriors%	Frederick, Maryland% %
Idaho Horsemen%	Nampa, Idaho%	Ford Idaho Center%
Wenatchee Valley Skyhawks%	Wenatchee, Washington%	Town Toyota Center%
Yakima Canines%	Yakima, Washington%	Yakima SunDome%
Eastern	Atlanta Empire%	Duluth, Georgia%	Infinite Energy Arena%
Chicago Blitz%	Bridgeview, Illinois%	SeatGeek Stadium%
Kansas City Force%	Independence, Missouri%	Cable Dahmer Arena%
Omaha Red Devils%	Ralston, Nebraska%	Ralston Arena%
Austin Sound%	Cedar Park, Texas%	H-E-B Center%
Denver Rush%	Denver, Colorado%	Denver Coliseum%
Los Angeles Black Storm%	Ontario, California%	Toyota Arena%
Seattle Thunder%	Kent, Washington%	ShoWare Center%
Carolina Hurricanes%	Raleigh, North Carolina%	PNC Arena%
Columbus Blue Jackets%	Columbus, Ohio%	Nationwide Arena%
New Jersey Devils%	Newark, New Jersey%	Prudential Center%
New York Islanders%	New York City (Brooklyn)% Barclays Center[a]%
New York Rangers%	New York City (Manhattan)%	Madison Square Garden%
Philadelphia Flyers%	Philadelphia, Pennsylvania% Wells Fargo Center%
Pittsburgh Penguins%	Pittsburgh, Pennsylvania%	PPG Paints Arena%
Washington Capitals%	Washington, D.C.%	Capital One Arena%
Boston Bruins%	Boston, Massachusetts%	TD Garden%
Buffalo Sabres%	Buffalo, New York%	KeyBank Center%
Detroit Red Wings%	Detroit, Michigan%	Little Caesars Arena%
Florida Panthers%	Sunrise, Florida%	BB&T Center%
Montreal Canadiens%	Montreal, Quebec%	Centre Bell%
Ottawa Senators%	Ottawa, Ontario%	Canadian Tire Centre%
Tampa Bay Lightning%	Tampa, Florida%	Amalie Arena%
Toronto Maple Leafs%	Toronto, Ontario%	Scotiabank Arena%
Chicago Blackhawks%	Chicago, Illinois%	United Center%
Colorado Avalanche%	Denver, Colorado%	Pepsi Center%
Dallas Stars%	Dallas, Texas%	American Airlines Center%
Minnesota Wild%	Saint Paul, Minnesota%	Xcel Energy Center%
Nashville Predators%	Nashville, Tennessee%	Bridgestone Arena%
St. Louis Blues%	St. Louis, Missouri%	Enterprise Center%
Winnipeg Jets%	Winnipeg, Manitoba%	Bell MTS Place%
Anaheim Ducks%	Anaheim, California%	Honda Center%
Arizona Coyotes%	Glendale, Arizona%	Gila River Arena%
Calgary Flames%	Calgary, Alberta%	Scotiabank Saddledome%
Edmonton Oilers%	Edmonton, Alberta%	Rogers Place%
Los Angeles Kings%	Los Angeles, California%	Staples Center%
San Jose Sharks%	San Jose, California%	SAP Center at San Jose%
Vancouver Canucks%	Vancouver, British Columbia% Rogers Arena%
Vegas Golden Knights%	Paradise, Nevada%	T-Mobile Arena%
Bridgeport Sound Tigers%	Bridgeport, Connecticut%	Webster Bank Arena%
Charlotte Checkers%	Charlotte, North Carolina%	Bojangles' Coliseum%
Hartford Wolf Pack%	Hartford, Connecticut%	XL Center%
Hershey Bears%	Hershey, Pennsylvania%	Giant Center%
Lehigh Valley Phantoms%	Allentown, Pennsylvania%	PPL Center%
Providence Bruins%	Providence, Rhode Island%	Dunkin' Donuts Center%
Springfield Thunderbirds%	Springfield, Massachusetts%	MassMutual Center%
Wilkes-Barre/Scranton Penguins%	Wilkes-Barre, Pennsylvania%	Mohegan Sun Arena at Casey Plaza%
Belleville Senators%	Belleville, Ontario%	CAA Arena%
Binghamton Devils%	Binghamton, New York%	Floyd L. Maines Veterans Memorial Arena%
Cleveland Monsters%	Cleveland, Ohio%	Rocket Mortgage FieldHouse%
Laval Rocket%	Laval, Quebec%	Place Bell%
Rochester Americans%	Rochester, New York%	Blue Cross Arena%
Syracuse Crunch%	Syracuse, New York%	Upstate Medical University Arena at Onondaga County War Memorial%
Toronto Marlies%	Toronto, Ontario%	Ricoh Coliseum%
Utica Comets%	Utica, New York%	Adirondack Bank Center%
Central	Chicago Wolves%	Rosemont, Illinois%	Allstate Arena%
Grand Rapids Griffins%	Grand Rapids, Michigan%	Van Andel Arena%
Iowa Wild%	Des Moines, Iowa%	Wells Fargo Arena%
Manitoba Moose%	Winnipeg, Manitoba%	Bell MTS Place%
Milwaukee Admirals%	Milwaukee, Wisconsin%	UW–Milwaukee Panther Arena%
Rockford IceHogs%	Rockford, Illinois%	BMO Harris Bank Center%
San Antonio Rampage%	San Antonio, Texas%	AT&T Center%
Texas Stars%	Cedar Park, Texas%	H-E-B Center%
Bakersfield Condors%	Bakersfield, California%	Mechanics Bank Arena%
Colorado Eagles%	Loveland, Colorado%	Budweiser Events Center%
Ontario Reign%	Ontario, California%	Toyota Arena%
San Diego Gulls%	San Diego, California%	Pechanga Arena%
San Jose Barracuda%	San Jose, California%	SAP Center at San Jose%
Stockton Heat%	Stockton, California%	Stockton Arena%
Tucson Roadrunners%	Tucson, Arizona%	Tucson Convention Center%
Adirondack Thunder%	Glens Falls, New York%	Cool Insuring Arena%
Brampton Beast%	Brampton, Ontario%	CAA Centre%
Maine Mariners%	Portland, Maine%	Cross Insurance Arena%
Newfoundland Growlers%	St. John's, Newfoundland and Labrador%	Mile One Centre%
Reading Royals%	Reading, Pennsylvania%	Santander Arena%
Worcester Railers%	Worcester, Massachusetts%	DCU Center%
Atlanta Gladiators%	Duluth, Georgia%	Infinite Energy Arena%
Florida Everblades%	Estero, Florida%	Hertz Arena%
Greenville Swamp Rabbits%	Greenville, South Carolina%	Bon Secours Wellness Arena%
Jacksonville Icemen%	Jacksonville, Florida%	VyStar Veterans Memorial Arena%
Norfolk Admirals%	Norfolk, Virginia%	Norfolk Scope%
Orlando Solar Bears%	Orlando, Florida%	Amway Center%
South Carolina Stingrays%	North Charleston, South Carolina%	North Charleston Coliseum%
Cincinnati Cyclones%	Cincinnati, Ohio%	Heritage Bank Center%
Fort Wayne Komets%	Fort Wayne, Indiana%	Allen County War Memorial Coliseum%
Indy Fuel%	Indianapolis, Indiana%	Indiana Farmers Coliseum%
Kalamazoo Wings%	Kalamazoo, Michigan%	Wings Event Center%
Toledo Walleye%	Toledo, Ohio%	Huntington Center%
Wheeling Nailers%	Wheeling, West Virginia%	WesBanco Arena%
Allen Americans%	Allen, Texas%	Allen Event Center%
Idaho Steelheads%	Boise, Idaho%	CenturyLink Arena Boise%
Kansas City Mavericks%	Independence, Missouri%	Cable Dahmer Arena%
Rapid City Rush%	Rapid City, South Dakota%	Rushmore Plaza Civic Center%
Tulsa Oilers%	Tulsa, Oklahoma%	BOK Center%
Utah Grizzlies%	West Valley City, Utah%	Maverik Center%
Wichita Thunder%	Wichita, Kansas%	Intrust Bank Arena%
Birmingham Bulls%	Pelham, Alabama%	Pelham Civic Center%
Evansville Thunderbolts%	Evansville, Indiana%	Ford Center%
Fayetteville Marksmen%	Fayetteville, North Carolina%	Crown Coliseum%
Huntsville Havoc%	Huntsville, Alabama%	Von Braun Center%
Knoxville Ice Bears%	Knoxville, Tennessee%	Knoxville Civic Coliseum%
Macon Mayhem%	Macon, Georgia%	Macon Coliseum%
Pensacola Ice Flyers%	Pensacola, Florida%	Pensacola Bay Center%
Peoria Rivermen%	Peoria, Illinois%	Carver Arena%
Quad City Storm%	Moline, Illinois%	TaxSlayer Center%
Roanoke Rail Yard Dawgs%	Roanoke, Virginia%	Berglund Center%
Eastern	Danbury Hat Tricks%	Danbury, Connecticut%	Danbury Ice Arena%
Delaware Thunder%	Harrington, Delaware%	Centre Ice Rink%
Elmira Enforcers%	Elmira, New York%	First Arena%
Mentor Ice Breakers%	Mentor, Ohio%	Mentor Civic Arena%
Watertown Wolves%	Watertown, New York%	Watertown Municipal Arena%
Western	Battle Creek Rumble Bees%	Battle Creek, Michigan%	The Rink Battle Creek%
Carolina Thunderbirds%	Winston-Salem, North Carolina%	Winston-Salem Fairgrounds Annex%
Columbus River Dragons%	Columbus, Georgia%	Columbus Civic Center%
Danville Dashers%	Danville, Illinois%	David S. Palmer Arena%
Port Huron Prowlers%	Port Huron, Michigan%	McMorran Place%
Jonquière Marquis%	Saguenay, Quebec%	Palais des Sports de Saguenay%
Les Pétroliers du Nord%	Laval, Quebec%	Colisée de Laval%
Rivière-du-Loup 3L%	Rivière-du-Loup, Quebec%	Centre Premier Tech%
Saint-Georges Cool FM 103.5%	Saint-Georges, Quebec%	Centre Sportif Lacroix-Dutil%
Sorel-Tracy Éperviers%	Sorel-Tracy, Quebec%	Colisée Cardin%
Thetford Assurancia%	Thetford Mines, Quebec%	Centre Mario Gosselin%
Boston Pride%	Boston, Massachusetts%	Warrior Ice Arena%
Buffalo Beauts%	Amherst, New York%	Northtown Center%
Connecticut Whale%	Danbury, Connecticut%	Danbury Ice Arena%
Metropolitan Riveters%	Monmouth Junction, New Jersey%	ProSkate Ice Arena%
Minnesota Whitecaps%	Saint Paul, Minnesota%	TRIA Rink%
Toronto Six%	Toronto, Ontario%	TBD%
Buffalo Bandits%	Buffalo, New York%	KeyBank Center%
Halifax Thunderbirds%	Halifax, Nova Scotia%	Scotiabank Centre%
Rochester Knighthawks%	Rochester, New York%	Blue Cross Arena%
Toronto Rock%	Toronto, Ontario%	Scotiabank Arena%
Georgia Swarm%	Duluth, Georgia%	Infinite Energy Arena%
New England Black Wolves%	Uncasville, Connecticut%	Mohegan Sun Arena%
New York Riptide%	Uniondale, New York%	Nassau Coliseum%
Philadelphia Wings%	Philadelphia, Pennsylvania%	Wells Fargo Center%
Calgary Roughnecks%	Calgary, Alberta%	Scotiabank Saddledome%
Colorado Mammoth%	Denver, Colorado%	Pepsi Center%
San Diego Seals%	San Diego, California%	Pechanga Arena%
Saskatchewan Rush%	Saskatoon, Saskatchewan%	SaskTel Centre%
Vancouver Warriors%	Vancouver, British Columbia%	Rogers Arena%
Boston Cannons%	Quincy, Massachusetts%	Veterans Memorial Stadium%
Chesapeake Bayhawks%	Annapolis, Maryland%	Navy–Marine Corps Memorial Stadium%
Connecticut Hammerheads%	Fairfield, Connecticut%	Rafferty Stadium%
Denver Outlaws%	Denver, Colorado%	Empower Field at Mile High%
New York Lizards%	Hempstead, New York%	James M. Shuart Stadium%
Philadelphia Barrage%	Philadelphia, Pennsylvania% %	
Archers Lacrosse Club% % %
Atlas Lacrosse Club% % %
Chaos Lacrosse Club% % %
Chrome Lacrosse Club% % %
Redwoods Lacrosse Club% % %
Waterdogs Lacrosse Club% % %
Whipsnakes Lacrosse Club% % %
Toronto Wolfpack%	Toronto, Ontario%	Lamport Stadium%
Boston Thirteens%	Boston, Massachusetts%	Nickerson Field%
Brooklyn Kings%	New York City (Brooklyn)%	Bushwick Inlet Park%
Delaware Black Foxes%	Wilmington, Delaware%	Eden Park Stadium%
Lakeland Renegades%	Lakeland, Florida%	All Saints Academy%
New York Knights%	New York City (Manhattan)%	Pier 40 at Hudson River Park%
Northern Virginia Eagles%	Manassas, Virginia%	Grizzly Sports Complex%
Philadelphia Fight%	Philadelphia, Pennsylvania%	Garthwaite Stadium%
White Plains Wombats%	White Plains, New York%	White Plains Field%
Atlanta Rhinos%	Atlanta, Georgia[a]%	Atlanta Silverbacks Park%
Jacksonville Axemen%	Jacksonville, Florida%	Hodges Stadium%
Southwest Florida Copperheads%	Buckingham, Florida%	Lehigh Senior High School%
Tampa Mayhem%	Tampa, Florida%	Tampa Catholic High School%
Eastern	New England Free Jacks%	Weymouth, Massachusetts (Boston)%	Union Point Sports Complex%
New Orleans Gold%	Metairie, Louisiana (New Orleans)%	Gold Mine%
Old Glory DC%	Washington, D.C.%	Cardinal Stadium%
Rugby United New York%	New York City, New York (Brooklyn)%	MCU Park%
Rugby ATL%	Marietta, Georgia (Atlanta)%	Lupo Family Field%
Toronto Arrows%	Toronto, Ontario%	Lamport Stadium%
Western	Austin Gilgronis%	Austin, Texas%	Circuit of the Americas%
Colorado Raptors%	Glendale, Colorado (Denver)%	Infinity Park%
Houston SaberCats%	Houston, Texas%	Aveva Stadium%
San Diego Legion%	San Diego, California%	Torero Stadium%
Seattle Seawolves%	Tukwila, Washington (Seattle)%	Starfire Stadium%
Utah Warriors%	Herriman, Utah (Salt Lake City)%	Zions Bank Stadium%
Eastern	Atlanta United FC%	Atlanta, Georgia%	Mercedes-Benz Stadium%
Chicago Fire FC%	Chicago, Illinois%	Soldier Field%
Columbus Crew SC%	Columbus, Ohio%	Mapfre Stadium%
D.C. United%	Washington, D.C.%	Audi Field%
FC Cincinnati%	Cincinnati, Ohio%	Nippert Stadium[a]%
Inter Miami CF%	Fort Lauderdale, Florida%	Inter Miami CF Stadium%
Montreal Impact%	Montreal, Quebec%	Saputo Stadium%
New England Revolution%	Foxborough, Massachusetts%	Gillette Stadium%
New York City FC%	New York City, New York (Bronx)%	Yankee Stadium%
New York Red Bulls%	Harrison, New Jersey%	Red Bull Arena%
Orlando City SC%	Orlando, Florida%	Exploria Stadium%
Philadelphia Union%	Chester, Pennsylvania%	Subaru Park%
Toronto FC%	Toronto, Ontario%	BMO Field%
Western	Colorado Rapids%	Commerce City, Colorado%	Dick's Sporting Goods Park%
FC Dallas%	Frisco, Texas%	Toyota Stadium%
Houston Dynamo%	Houston, Texas%	BBVA Stadium%
LA Galaxy%	Carson, California%	Dignity Health Sports Park%
Los Angeles FC%	Los Angeles, California%	Banc of California Stadium%
Minnesota United FC%	Saint Paul, Minnesota%	Allianz Field%
Nashville SC%	Nashville, Tennessee%	Nissan Stadium[b]%
Portland Timbers%	Portland, Oregon%	Providence Park%
Real Salt Lake%	Sandy, Utah%	Rio Tinto Stadium%
San Jose Earthquakes%	San Jose, California%	Earthquakes Stadium%
Seattle Sounders FC%	Seattle, Washington%	CenturyLink Field%
Sporting Kansas City%	Kansas City, Kansas%	Children's Mercy Park%
Vancouver Whitecaps FC%	Vancouver, British Columbia%	BC Place%
Atlético Ottawa%	Ottawa, Ontario%	TD Place Stadium%
Cavalry FC%	Calgary, Alberta%	ATCO Field%
FC Edmonton%	Edmonton, Alberta%	Clarke Stadium%
Forge FC%	Hamilton, Ontario%	Tim Hortons Field%
HFX Wanderers FC%	Halifax, Nova Scotia%	Wanderers Grounds%
Pacific FC%	Langford, British Columbia%	Westhills Stadium%
Valour FC%	Winnipeg, Manitoba%	IG Field%
York9 FC%	Toronto, Ontario%	York Lions Stadium%
Eastern	Atlanta United 2%	Kennesaw, Georgia%	Fifth Third Bank Stadium%
Birmingham Legion FC%	Birmingham, Alabama%	BBVA Field%
Charleston Battery%	North Charleston, South Carolina%	Patriots Point Soccer Complex%
Charlotte Independence%	Charlotte, North Carolina%	Sportsplex at Matthews%
Hartford Athletic%	Hartford, Connecticut%	Dillon Stadium%
Indy Eleven%	Indianapolis, Indiana%	Lucas Oil Stadium%
Loudoun United FC%	Leesburg, Virginia%	Segra Field%
Louisville City FC%	Louisville, Kentucky%	Lynn Family Stadium%
Memphis 901 FC%	Memphis, Tennessee%	AutoZone Park%
Miami FC%	Miami, Florida%	Riccardo Silva Stadium%
New York Red Bulls II%	Montclair, New Jersey%	MSU Soccer Park at Pittser Field%
North Carolina FC%	Cary, North Carolina%	WakeMed Soccer Park%
Philadelphia Union II%	Chester, Pennsylvania%	Subaru Park%
Pittsburgh Riverhounds SC%	Pittsburgh, Pennsylvania%	Highmark Stadium%
Saint Louis FC%	Fenton, Missouri%	West Community Stadium%
Sporting Kansas City II%	Kansas City, Kansas%	Children's Mercy Park%
Tampa Bay Rowdies%	St. Petersburg, Florida%	Al Lang Stadium%
Western	Austin Bold FC%	Elroy, Texas%	Bold Stadium%
Colorado Springs Switchbacks FC%	Colorado Springs, Colorado%	Weidner Field%
El Paso Locomotive FC%	El Paso, Texas%	Southwest University Park%
LA Galaxy II%	Carson, California%	Dignity Health Sports Park Track & Field Stadium%
Las Vegas Lights FC%	Las Vegas, Nevada%	Cashman Field%
New Mexico United%	Albuquerque, New Mexico%	Rio Grande Credit Union Field at Isotopes Park%
Oklahoma City Energy FC%	Oklahoma City, Oklahoma%	Taft Stadium%
Orange County SC%	Irvine, California%	Champions Stadium%
Phoenix Rising FC%	Tempe, Arizona%	Casino Arizona Field%
Portland Timbers 2%	Hillsboro, Oregon%	Hillsboro Stadium%
Real Monarchs%	Herriman, Utah%	Zions Bank Stadium%
Reno 1868 FC%	Reno, Nevada%	Greater Nevada Field%
Rio Grande Valley FC Toros%	Edinburg, Texas%	H-E-B Park%
Sacramento Republic FC[a]%	Sacramento, California%	Papa Murphy's Park%
San Antonio FC%	San Antonio, Texas%	Toyota Field%
San Diego Loyal SC%	San Diego, California%	Torero Stadium%
Tacoma Defiance%	Tacoma, Washington%	Cheney Stadium%
FC Tulsa%	Tulsa, Oklahoma%	ONEOK Field%
Chattanooga Red Wolves SC%	Chattanooga, Tennessee%	CHI Memorial Stadium%
Fort Lauderdale CF%	Fort Lauderdale, Florida%	Inter Miami CF Stadium%
Forward Madison FC%	Madison, Wisconsin%	Breese Stevens Field%
Greenville Triumph SC%	Greenville, South Carolina%	Legacy Early College Field%
North Texas SC%	Arlington, Texas%	Globe Life Park in Arlington%
Orlando City B%	Kissimmee, Florida%	Osceola County Stadium%
New England Revolution II%	Foxborough, Massachusetts%	Gillette Stadium%
Richmond Kickers%	Richmond, Virginia%	City Stadium%
Tormenta FC%	Statesboro, Georgia%	Eagle Field%
Toronto FC II%	Toronto, Ontario%	BMO Training Ground%
FC Tucson%	Tucson, Arizona%	Kino Sports Complex%
Union Omaha%	Papillion, Nebraska%	Werner Park%
Chicago Red Stars%	Bridgeview, Illinois%	SeatGeek Stadium%
Houston Dash%	Houston, Texas%	BBVA Stadium%
North Carolina Courage%	Cary, North Carolina%	WakeMed Soccer Park%
OL Reign[a]%	Tacoma, Washington%	Cheney Stadium%
Orlando Pride%	Orlando, Florida%	Exploria Stadium%
Portland Thorns FC%	Portland, Oregon%	Providence Park%
Sky Blue FC%	Harrison, New Jersey%	Red Bull Arena%
Utah Royals FC%	Sandy, Utah%	Rio Tinto Stadium%
Washington Spirit%	Boyds, Maryland%	Maryland SoccerPlex%
Eastern	Baltimore Blast%	Towson, Maryland%	SECU Arena%
Florida Tropics SC%	Lakeland, Florida%	RP Funding Center%
Harrisburg Heat%	Harrisburg, Pennsylvania%	New Holland Arena%
Kansas City Comets%	Independence, Missouri%	Silverstein Eye Centers Arena%
Milwaukee Wave%	Milwaukee, Wisconsin%	UW–Milwaukee Panther Arena%
Orlando SeaWolves%	Kissimmee, Florida%	Silver Spurs Arena%
Rochester Lancers%	Rochester, New York%	The Dome Center%
St. Louis Ambush%	St. Charles, Missouri%	Family Arena%
Utica City FC%	Utica, New York%	Adirondack Bank Center%
Western	Dallas Sidekicks%	Allen, Texas%	Allen Event Center%
Mesquite Outlaws%	Mesquite, Texas%	Mesquite Arena%
Monterrey Flash%	Monterrey, Nuevo León%	Monterrey Arena%
Ontario Fury[3]%	Ontario, California%	Toyota Arena%
San Diego Sockers%	San Diego, California%	Pechanga Arena%
Sonora Suns%	Hermosillo, Sonora%	El Centro de Usos Multiples%
Tacoma Stars%	Kent, Washington%	ShoWare Center%
Turlock Cal Express%	Turlock, California%	Turlock Soccer Complex%
Aussie Peppers%	North Mankato, Minnesota%	Caswell Park Softball Complex%
California Commotion%	Traveling team%
Canadian Wild%	Marion, Illinois%	Rent One Park%
Chicago Bandits%	Rosemont, Illinois%	Rosemont Stadium%
Cleveland Comets% % %
Chicago Smash%	Chicago, Illinois%	Credit Union 1 Arena%
New York Empire%	Bronx, New York%	Cary Leeds Center for Tennis & Learning%
Orange County Breakers%	Newport Beach, California%	Palisades Tennis Club%
Orlando Storm%	Orlando, Florida%	USTA National Campus%
Philadelphia Freedoms%	Philadelphia, Pennsylvania%	Michael J. Hagan Arena%
San Diego Aviators%	Carlsbad, California%	Omni La Costa Resort and Spa%
Springfield Lasers%	Springfield, Missouri%	Mediacom Stadium at Cooper Tennis Complex%
Vegas Rollers%	Paradise, Nevada%	Orleans Arena%
Washington Kastles%	Washington, D.C.%	Kastles Stadium at Union Market%
Atlanta Hustle%	DeKalb County, Georgia%	St. Pius X Catholic High School%
DC Breeze%	Washington, D.C.%	Carlini Field%
Philadelphia Phoenix%	Philadelphia, Pennsylvania%	Garthwaite Stadium%
Pittsburgh Thunderbirds%	Pittsburgh, Pennsylvania%	J.C. Stone Field%
Raleigh Flyers%	Cary, North Carolina%	WakeMed Soccer Park%
Tampa Bay Cannons%	Tampa, Florida%	Skyway Park%
Chicago Wildfire%	Chicago, Illinois%	Langhorst Field%
Detroit Mechanix%	Madison Heights, Michigan%	Bishop Foley Catholic High School%
Indianapolis AlleyCats%	Westfield, Indiana%	Grand Park Events Center%
Madison Radicals%	Madison, Wisconsin%	Breese Stevens Field%
Minnesota Wind Chill%	Saint Paul, Minnesota%	Sea Foam Stadium%
Boston Glory%	Boston, Massachusetts%	Hormel Stadium%
Montreal Royal%	Montreal, Quebec%	Complexe sportif Claude-Robillard%
New York Empire%	New Rochelle, New York%	Joseph F. Fosina Field%
Ottawa Outlaws%	Ottawa, Ontario%	MNP Park%
Toronto Rush%	Toronto, Ontario%	Varsity Stadium%
Austin Sol%	Austin, Texas%	House Park%
Dallas Roughnecks%	Dallas, Texas%	The Colony Five Star Complex%
Los Angeles Aviators%	Los Angeles, California%	Culver City High School%
San Diego Growlers%	San Diego, California%	Junipero Serra High School/Balboa Stadium%
San Jose Spiders%	San Jose, California%	Foothill College%
Seattle Cascades%	Seattle, Washington%	Seattle Memorial Stadium%
Atlanta Soul%	Atlanta, Georgia% %
Austin Torch%	Austin, Texas% %
Indy Red%	Indianapolis, Indiana% %
Medellin Revolution%	Medellín, Colombia% %
Milwaukee Monarchs%	Milwaukee, Wisconsin% %
Minnesota Strike%	Minneapolis, Minnesota% %
Columbus Pride%	Columbus, Ohio% %
NY Gridlock%	New York City, New York% %
Nashville Nightshade%	Nashville, Tennessee% %
Portland Rising%	Portland, Maine% %
Raleigh Radiance%	Raleigh, North Carolina% %
Washington DC Shadow%	Washington, D.C.% %
