Name% Location% Arena%
Rancho Cucamonga Quakes%	Rancho Cucamonga, California%	LoanMart Field%
Frederick Keys%	Frederick, Maryland%	Nymeo Field at Harry Grove Stadium%
Fredericksburg Nationals[a]%	Fredericksburg, Virginia%	New Fredericksburg Ballpark%
Lynchburg Hillcats%	Lynchburg, Virginia%	Calvin Falwell Field%
Salem Red Sox%	Salem, Virginia%	Salem Memorial Ballpark%
Wilmington Blue Rocks%	Wilmington, Delaware%	Daniel S. Frawley Stadium%
Carolina Mudcats%	Zebulon, North Carolina%	Five County Stadium%
Down East Wood Ducks%	Kinston, North Carolina%	Grainger Stadium%
Fayetteville Woodpeckers%	Fayetteville, North Carolina%	Segra Stadium%
Myrtle Beach Pelicans%	Myrtle Beach, South Carolina%	TicketReturn.Com Field at Pelicans Ballpark%
Winston-Salem Dash%	Winston-Salem, North Carolina%	Truist Stadium%
Clearwater Threshers%	Clearwater, Florida%	Spectrum Field%
Daytona Tortugas%	Daytona Beach, Florida%	Radiology Associates Field at Jackie Robinson Ballpark%
Dunedin Blue Jays%	Dunedin, Florida%	TD Ballpark%
Florida Fire Frogs%	North Port, Florida%	CoolToday Park%
Lakeland Flying Tigers%	Lakeland, Florida%	Publix Field at Joker Marchant Stadium%
Tampa Tarpons%	Tampa, Florida%	George M. Steinbrenner Field%
Bradenton Marauders%	Bradenton, Florida%	LECOM Park%
Charlotte Stone Crabs%	Port Charlotte, Florida%	Charlotte Sports Park%
Fort Myers Mighty Mussels[a]%	Fort Myers, Florida%	Hammond Stadium%
Jupiter Hammerheads%	Jupiter, Florida%	Roger Dean Stadium%
Palm Beach Cardinals%	Jupiter, Florida%	Roger Dean Stadium%
St. Lucie Mets%	Port St. Lucie, Florida%	Clover Park%
Bowling Green Hot Rods%	Bowling Green, Kentucky%	Bowling Green Ballpark%
Dayton Dragons%	Dayton, Ohio%	Day Air Ballpark%
Fort Wayne TinCaps%	Fort Wayne, Indiana%	Parkview Field%
Great Lakes Loons%	Midland, Michigan%	Dow Diamond%
Lake County Captains%	Eastlake, Ohio%	Classic Park%
Lansing Lugnuts%	Lansing, Michigan%	Cooley Law School Stadium%
South Bend Cubs%	South Bend, Indiana%	Four Winds Field at Coveleski Stadium%
Michigan Whitecaps%	Comstock Park, Michigan%	Fifth Third Ballpark%
Beloit Snappers%	Beloit, Wisconsin%	Harry C. Pohlman Field%
